"Date","Ordered Product Sales","Units Ordered","Total Order Items","Shipped Product Sales","Units Shipped","Orders Shipped"
"12/01/2017","$0.00","0","0","$0.00","0","0"
"01/01/2018","$0.00","0","0","$0.00","0","0"
"02/01/2018","$0.00","0","0","$0.00","0","0"
"03/01/2018","$0.00","0","0","$0.00","0","0"
"04/01/2018","$0.00","0","0","$0.00","0","0"
"05/01/2018","$0.00","0","0","$0.00","0","0"
"06/01/2018","$0.00","0","0","$0.00","0","0"
"07/01/2018","$0.00","0","0","$0.00","0","0"
"08/01/2018","$0.00","0","0","$0.00","0","0"
"09/01/2018","$0.00","0","0","$0.00","0","0"
"10/01/2018","$39.90","1","1","$39.90","1","1"
"11/01/2018","$4,340.93","77","74","$4,190.56","74","70"
"12/01/2018","$6,595.58","122","117","$6,562.28","122","111"
"01/01/2019","$5,069.85","95","81","$5,253.52","98","81"
"02/01/2019","$3,112.72","58","55","$2,922.35","55","51"
"03/01/2019","$1,642.02","28","28","$1,832.39","31","31"
"04/01/2019","$680.48","12","12","$621.59","11","11"
"05/01/2019","$2,368.48","42","42","$2,309.59","41","41"
"06/01/2019","$5,066.17","105","101","$5,147.96","106","102"
"07/01/2019","$2,372.01","49","49","$2,422.00","50","49"
"08/01/2019","$2,360.48","52","51","$2,316.49","51","49"
"09/01/2019","$3,022.91","69","66","$3,072.90","70","63"
"10/01/2019","$3,370.18","82","80","$3,360.18","82","74"
"11/01/2019","$3,194.23","77","72","$2,620.37","63","56"
